elapsed_s,state,rss_mb,swap_mb,cpu_percent,threads,temperature_c,heartbeat_age_s,overflows,captured_s,processed_s,backlog_s,processing_calls,parse_last_ms,parse_max_ms,process_last_ms,process_max_ms,returned_lines,returned_audio_s,completed_lines,last_line_duration_s,last_decode_ms,callback_gap_max_ms,actual_rate,actual_latency_s
0.0,,0.609375,0.0,,1,63.35,,,,,,,,,,,,,,,,,,
0.0,running,405.265625,0.0,88.93801909444431,25,62.25,0.49904537200927734,0,0.0,0.0,0.0,0,,0.0,,0.0,,,0,,,0.0,16000.0,0.064
1.0,running,411.265625,0.0,124.92697655934968,25,61.7,1.4995968341827393,0,0.0,0.0,0.0,0,,0.0,,0.0,,,0,,,0.0,16000.0,0.064
2.0,running,424.578125,0.0,299.9342215351694,25,65.0,0.8968479633331299,0,1.600000000000001,1.4720000000000006,0.12800000000000034,19,0.06598199979634956,0.06598199979634956,0.26246400011586957,360.1717000001372,1,0.0,0,,,68.34461300059047,16000.0,0.064
3.01,running,482.859375,0.0,349.62223597092196,25,66.1,1.8980743885040283,0,1.600000000000001,1.4720000000000006,0.12800000000000034,19,0.06598199979634956,0.06598199979634956,0.26246400011586957,360.1717000001372,1,0.0,0,,,68.34461300059047,16000.0,0.064
4.01,running,432.203125,0.0,336.6049099872398,25,66.1,0.898404598236084,0,3.5840000000000027,3.200000000000001,0.3840000000000017,26,0.05237000004854053,0.06598199979634956,2.441140000883024,626.2564690005092,1,0.0,0,,,68.34461300059047,16000.0,0.064
5.01,running,438.84375,0.0,339.72428622418,25,66.65,1.8992993831634521,0,3.5840000000000027,3.200000000000001,0.3840000000000017,26,0.05237000004854053,0.06598199979634956,2.441140000883024,626.2564690005092,1,0.0,0,,,68.34461300059047,16000.0,0.064
6.01,running,445.71875,0.0,348.30535096572225,25,67.2,0.9051811695098877,0,5.568000000000004,5.312000000000001,0.2560000000000029,30,0.053555999329546466,0.06598199979634956,4.22481500027061,1054.6012960003281,1,0.0,0,,,68.34461300059047,16000.0,0.064
7.01,running,458.03125,0.0,351.0628009908635,25,67.2,1.9069077968597412,0,5.568000000000004,5.312000000000001,0.2560000000000029,30,0.053555999329546466,0.06598199979634956,4.22481500027061,1054.6012960003281,1,0.0,0,,,68.34461300059047,16000.0,0.064
8.02,running,468.609375,0.0,363.2541756081141,25,67.75,0.9077787399291992,0,7.552000000000006,7.360000000000002,0.19200000000000372,36,0.0516479994985275,0.06598199979634956,3.7069610007165466,1054.6012960003281,1,0.0,0,,,68.34461300059047,16000.0,0.064
9.02,running,464.21875,0.0,360.8003805877203,25,66.65,1.9107897281646729,0,7.552000000000006,7.360000000000002,0.19200000000000372,36,0.0516479994985275,0.06598199979634956,3.7069610007165466,1054.6012960003281,1,0.0,0,,,68.34461300059047,16000.0,0.064
10.02,running,484.15625,0.0,357.74228639205563,25,67.75,0.9108428955078125,0,9.600000000000007,8.576000000000002,1.0240000000000045,38,0.05298100040818099,0.06598199979634956,4.879391999565996,1213.4902439993311,1,0.0,0,,,71.32916199952888,16000.0,0.064
11.03,running,484.328125,0.0,341.5387169471116,25,68.3,1.9181315898895264,0,9.600000000000007,8.576000000000002,1.0240000000000045,38,0.05298100040818099,0.06598199979634956,4.879391999565996,1213.4902439993311,1,0.0,0,,,71.32916199952888,16000.0,0.064
12.03,running,485.140625,0.0,369.73943057302097,25,69.4,0.9183642864227295,0,11.584000000000009,11.392000000000001,0.19200000000000728,42,0.05431500176200643,0.06598199979634956,6.544861000293167,1651.8416090002574,1,0.0,0,,,71.32916199952888,16000.0,0.064
13.03,running,485.140625,0.0,339.7339197145799,25,68.85,1.9191932678222656,0,11.584000000000009,11.392000000000001,0.19200000000000728,42,0.05431500176200643,0.06598199979634956,6.544861000293167,1651.8416090002574,1,0.0,0,,,71.32916199952888,16000.0,0.064
14.03,running,485.140625,0.0,253.7946669170203,25,67.2,0.9195246696472168,0,13.56800000000001,13.376000000000001,0.19200000000000905,46,0.06359299914038274,0.06598199979634956,2.0782689989573555,1651.8416090002574,3,0.0,2,0.6400003433227539,153,71.32916199952888,16000.0,0.064
15.03,running,485.140625,0.0,320.70698221746335,25,68.3,1.9201383590698242,0,13.56800000000001,13.376000000000001,0.19200000000000905,46,0.06359299914038274,0.06598199979634956,2.0782689989573555,1651.8416090002574,3,0.0,2,0.6400003433227539,153,71.32916199952888,16000.0,0.064
16.03,running,485.15625,0.0,332.8025086676981,25,67.75,0.9161531925201416,0,15.552000000000012,15.488000000000003,0.06400000000000894,59,0.06324100104393438,0.06683299943688326,2.0666939999500755,1651.8416090002574,3,0.0,2,0.6400003433227539,153,71.32916199952888,16000.0,0.064
17.03,running,485.15625,0.0,313.82442935379527,25,68.85,1.916745901107788,0,15.552000000000012,15.488000000000003,0.06400000000000894,59,0.06324100104393438,0.06683299943688326,2.0666939999500755,1651.8416090002574,3,0.0,2,0.6400003433227539,153,71.32916199952888,16000.0,0.064
18.04,running,485.15625,0.0,341.73098676506305,25,68.85,0.9202742576599121,0,17.600000000000012,17.536000000000005,0.06400000000000716,70,0.06266699892876204,0.06683299943688326,0.284297999314731,1651.8416090002574,3,0.0,2,0.6400003433227539,153,71.32916199952888,16000.0,0.064
19.04,running,550.484375,0.0,347.63130119935613,25,69.4,1.9211962223052979,0,17.600000000000012,17.536000000000005,0.06400000000000716,70,0.06266699892876204,0.06683299943688326,0.284297999314731,1651.8416090002574,3,0.0,2,0.6400003433227539,153,71.32916199952888,16000.0,0.064
